key,de,en,context,status
damage.navNextAria,Nächste Seite,Next page,Step 2 PDF,approved
damage.zoomOutTitle,Verkleinern,Zoom out,Step 2 PDF,approved
damage.zoomInTitle,Vergrößern,Zoom in,Step 2 PDF,approved
damage.closeAria,Schließen,Close,Step 2,approved
val.alertTitleAllDone,Alle Felder vollständig!,All fields complete!,Step 3 alert,approved
val.alertTitleMissing,"{missing} fehlende Felder","{missing} fields missing",Step 3 alert,approved
val.alertTitleValidate,"{count} Felder zu prüfen","{count} fields to check",Step 3 alert,approved
val.alertTitleMissingAndValidate,"{missing} fehlende Felder {count} zu prüfen","{missing} fields missing {count} to check",Step 3 alert,approved
val.alertTitleRequired,Pflichtfelder ausfüllen,Fill required fields,Step 3 alert,approved
val.alertSubFill,Bitte fülle alle fehlenden Felder aus um fortzufahren.,Please fill in all missing fields to continue.,Step 3 alert,approved
val.alertSubCheck,Bitte prüfe die markierten Felder.,Please check the marked fields.,Step 3 alert,approved
val.alertSubCanContinue,Du kannst zum Schritt „Prüfen & senden“ fortfahren.,You can proceed to Review & submit.,Step 3 alert,approved
val.btnCheckFields,Felder prüfen,Check fields,Step 3,approved
val.btnCheckMissing,Fehlende Felder prüfen,Check missing fields,Step 3,approved
val.btnExpandAll,Alle ausklappen,Expand all,Step 3,approved
val.btnCollapseAll,Alle einklappen,Collapse all,Step 3,approved
val.sectionInvoiceDetails,Rechnungsdetails,Invoice details,Step 3,approved
val.addFieldTitle,Feld hinzufügen,Add field,Step 3,approved
val.frameId,Frame ID,Frame ID,Step 3,approved
val.invoiceDate,Rechnungsdatum,Invoice date,Step 3,approved
val.damageDate,Schadendatum,Damage date,Step 3,approved
val.damageDesc,Schadensbeschreibung,Damage description,Step 3,approved
val.hintSelect,Auswählen,Select,Step 3,approved
val.hintEnter,Eingeben,Enter,Step 3,approved
val.placeholderDamageDesc,Beschreibung eingeben …,Enter description…,Step 3,approved
val.sectionItems,Rechnungsposten,Line items,Step 3,approved
val.addPositionTitle,Position hinzufügen,Add line item,Step 3,approved
val.showAmountsAs,Beträge anzeigen als,Show amounts as,Step 3,approved
val.net,Netto,Net,Step 3,approved
val.gross,Brutto,Gross,Step 3,approved
val.taxRateLabel,Steuersatz,Tax rate,Step 3,approved
val.totalTitle,Gesamtbetrag,Total amount,Step 3,approved
val.totalNetLabel,Nettobetrag,Net amount,Step 3,approved
val.totalGrossLabel,Bruttobetrag,Gross amount,Step 3,approved
val.back,Zurück,Back,Step 3,approved
val.continue,Weiter,Continue,Step 3,approved
val.footerHintFill,Fülle alle fehlenden Felder aus um fortzufahren,Fill all missing fields to continue,Step 3,approved
val.footerHintOk,Alle Pflichtfelder sind ausgefüllt,All required fields are complete,Step 3,approved
val.modalLeaveTitle,Validierung verlassen?,Leave validation?,Step 3 modal,approved
val.modalLeaveBody,"Wenn du jetzt zurückgehst können nicht gespeicherte Änderungen in diesem Validierungsschritt verloren gehen.","If you go back now unsaved changes in this validation step may be lost.",Step 3 modal,approved
val.modalStay,Auf diesem Schritt bleiben,Stay on this step,Step 3 modal,approved
val.modalBack,Zurückgehen,Go back,Step 3 modal,approved
val.noPdfLoaded,Kein PDF geladen,No PDF loaded,Step 3,approved
val.datePickerAria,Datumsauswahl öffnen,Open date picker,Step 3,approved
val.causeLabel,Schadenursache,Cause,Step 3 accordion,approved
val.bauteilLabel,Bauteil,Component,Step 3 accordion,approved
val.selectOne,Auswählen,Select one,Step 3 accordion,approved
val.typeLabel,Type,Type,Step 3 accordion,approved
val.qtyLabel,Menge,Quantity,Step 3 accordion,approved
val.noResultsFor,Keine Ergebnisse für {query},No results for {query},Step 3 Bauteil dropdown,approved
val.searchPlaceholder,Komponenten suchen…,Search components…,Step 3 Bauteil dropdown,approved
val.totalMismatch,Stimmt nicht mit der Summe überein (erwartet {expected} EUR),Doesn't match item sum (expected {expected} EUR),Step 3 validation,approved
val.navPrevAria,Vorherige Seite,Previous page,Step 3 PDF,approved
val.navNextAria,Nächste Seite,Next page,Step 3 PDF,approved
val.zoomOutTitle,Verkleinern,Zoom out,Step 3 PDF,approved
val.zoomInTitle,Vergrößern,Zoom in,Step 3 PDF,approved
val.collapsePdfAria,PDF verkleinern,Collapse PDF,Step 3 PDF,approved
val.expandPdfAria,PDF vergrößern,Expand PDF,Step 3 PDF,approved
review.pdfTrigger,PDF‑Vorschau anzeigen,Show PDF preview,Step 4,approved
review.title,Schadenfall prüfen,Review claim,Step 4,approved
review.subtitle,Fast geschafft! Prüfe die folgenden Angaben bevor du sendest.,Almost done! Review the details below before submitting.,Step 4,approved
review.invoiceData,Rechnungsdaten,Invoice data,Step 4,approved
review.editInvoiceData,Rechnungsdaten bearbeiten,Edit invoice data,Step 4,approved
review.frameNumber,Rahmennummer,Frame number,Step 4,approved
review.invoiceDate,Rechnungsdatum,Invoice date,Step 4,approved
review.damageDate,Schadendatum,Damage date,Step 4,approved
review.description,Beschreibung,Description,Step 4,approved
review.itemsCount,Rechnungsposten,Line items,Step 4,approved
review.editItems,Rechnungsposten bearbeiten,Edit line items,Step 4,approved
review.totalAmount,Gesamtbetrag,Total amount,Step 4,approved
review.editTotal,Gesamtbetrag bearbeiten,Edit total,Step 4,approved
review.causeLabel,Schadensursache,Cause,Step 4 accordion,approved
review.bauteilLabel,Bauteil,Component,Step 4 accordion,approved
review.quantity,Menge,Quantity,Step 4 accordion,approved
review.netAmount,Nettobetrag,Net amount,Step 4 accordion,approved
review.vatRate,Steuersatz,VAT rate,Step 4 accordion,approved
review.grossAmount,Bruttobetrag,Gross amount,Step 4 accordion,approved
review.back,Zurück,Back,Step 4,approved
review.submitToAssona,Schaden an assona senden,Send claim to assona,Step 4,approved
review.modalLeaveTitle,Überprüfung verlassen?,Leave review?,Step 4 modal,approved
review.modalLeaveBody,"Wenn du jetzt zurückgehst können nicht gespeicherte Änderungen in diesem Schritt verloren gehen.","If you go back now unsaved changes in this step may be lost.",Step 4 modal,approved
review.modalStay,Auf diesem Schritt bleiben,Stay on this step,Step 4 modal,approved
review.modalBack,Zurückgehen,Go back,Step 4 modal,approved
review.pdfNavPrevAria,Vorherige Seite,Previous page,Step 4 PDF,approved
review.pdfNavNextAria,Nächste Seite,Next page,Step 4 PDF,approved
review.zoomOutTitle,Verkleinern,Zoom out,Step 4 PDF,approved
review.zoomInTitle,Vergrößern,Zoom in,Step 4 PDF,approved
review.closeAria,Schließen,Close,Step 4,approved
review.noPdfLoaded,Kein PDF geladen,No PDF loaded,Step 4,approved
review.submitModalTitle,Schaden einreichen,Submit claim,Step 4 submit modal,approved
review.additionalNotes,Zusätzliche Hinweise,Additional notes,Step 4 submit modal,approved
review.notesPlaceholder,Nutze dieses Textfeld um uns weitere Informationen zum Schaden zu geben.,Use this field to provide additional information about the claim.,Step 4 submit modal,approved
review.mediaUpload,Medien hochladen,Upload media,Step 4 submit modal,approved
review.mediaUploadSub,Bis zu 9 Bilder oder Videos (max. 9),Up to 9 images or videos (max. 9),Step 4 submit modal,approved
review.mediaUploadedCount,"{n} Datei(en) hochgeladen (max. 9)","{n} file(s) uploaded (max. 9)",Step 4 submit modal,approved
review.uploadBtn,Hochladen,Upload,Step 4 submit modal,approved
review.confirmCheckbox,Ich bestätige dass alle Angaben korrekt und vollständig sind.,I confirm that all information is correct and complete.,Step 4 submit modal,approved
review.notYet,Noch nicht,Not yet,Step 4 submit modal,approved
review.send,Senden,Send,Step 4 submit modal,approved
review.sending,Wird gesendet …,Sending…,Step 4 submit modal,approved
review.successTitle,Schaden erfolgreich eingereicht,Claim submitted successfully,Step 4 success,approved
review.successSubtitle,"Wir haben deinen Schadenfall erhalten und dir eine Bestätigung per E‑Mail gesendet. Du kannst jetzt zur Startseite zurückkehren oder weitere Vorgänge bearbeiten.","We have received your claim and sent a confirmation by email. You can return to the homepage or continue with other tasks.",Step 4 success,approved
review.claimNumberLabel,Schadennummer:,Claim number:,Step 4 success,approved
review.goHome,Zur Startseite,Go to homepage,Step 4 success,approved
review.mediaMaxError,Maximal 9 Mediendateien erlaubt.,Maximum 9 media files allowed.,Step 4 submit modal,approved
review.mediaListAria,Vorschau der hochgeladenen Medien,Preview of uploaded media,Step 4 submit modal,approved
router.step2Heading,Schritt 2 – Schaden bestätigen,Step 2 – Confirm damage,Router fallback,approved
router.step3Heading,Schritt 3 – Validieren,Step 3 – Validate,Router fallback,approved
router.step4Heading,Schritt 4 – Prüfen & senden,Step 4 – Review & submit,Router fallback,approved
router.placeholderHeading,Assona-Funnel-Prototyp,Assona Funnel Prototype,Router fallback,approved
router.placeholderText,"Platzhalter für Schritt {step}. Die vollständige UI wird im nächsten Schritt übernommen.","Placeholder for step {step}. Full UI will be implemented next.",Router fallback,approved

val.viewPdf,Rechnung als PDF ansehen,View invoice as PDF,Step 3 table,approved
